,const,SMB,HML,RF
DXC,0.06111546865588529,0.008114921568993223,-0.011235973365743925,-0.5142862570775659
BBY,0.020686842713735554,0.0024655390944808703,0.00429875359328934,0.030095639296729718
AMG,0.001608372591602421,0.007603568093316693,0.002682272923355293,-0.13712125228843375
CNP,0.014204707302545628,-0.0008448620747764477,-0.000934370119334381,-0.056506703578766956
WMT,-0.0011284367916546082,-0.006023788505646725,0.0005635937724867134,0.11677773656074357
MRK,0.0019379096452533297,0.0007925043395484284,0.0006442126900088758,0.11798240460592817
NEM,0.024879602382687802,-0.0005546494156488,-0.001032349916756009,-0.08108841730213343
VFC,-0.005603078459661556,0.0014961126649914078,0.0019823731061225864,0.19439403145778045
MDT,0.0036130313816469927,0.0021120321024372876,-0.006037332155019509,0.053334649390691484
HST,0.0035795969482074006,0.010678452197523801,0.0031427129712194124,0.041342379692565184
MTD,0.019082185735939977,0.003871283976346779,-0.003830887949442104,-0.015324707407709325
CCI,0.009122655264753253,-0.00017669491560906277,-0.004713960891370523,0.03649395465567337
KMI,-0.02878444566201225,0.011627113105409944,0.005967315249208682,0.3268290242141204
RMD,0.005135946402156923,0.0030464191447599417,-0.0028284034607366122,0.13693911847142673
LUV,0.012348821758625068,0.005423233594947811,0.0008782545429774288,-0.03702241876525837
NWS,0.0002691248747014891,0.002874575905221177,0.0035229165580956826,0.041665681324165205
AMGN,0.009304399346202105,0.003264920204029435,-0.0022119953245253693,0.028784560672176027
APD,0.00025241703799317936,0.0029045938451400626,0.002212830660060929,0.15669105085195262
TGT,-0.011409369194983261,0.0007041353818094996,0.00984503732034743,0.3241072488455412
MYL,-0.003918798456517166,0.004287397358356273,0.001962418761444262,-0.08396218407138391
GPC,0.0025081537559008193,0.005500401401699987,8.283438744966518e-05,0.05163742650204129
FCX,0.004493750554856614,0.01241765261178069,0.011996430699141898,0.06911028739784877
KO,0.0023512921263573656,-0.005048180552122779,0.0019096127116179015,0.07073085369115739
DISCK,-0.008075343732565278,0.003283921579312998,0.0035608323982796505,0.17015106940282537
FISV,0.014775801493140228,0.00253976437205584,-0.0012803118741705121,0.06249605315285408
ACN,0.01562185200164689,0.002698630774042707,-0.0006291475099716605,0.026739357150816816
SRCL,-0.024768830499063924,0.0005264557063666391,0.001228352699752848,0.18961529303863153
IT,0.014401780803208107,0.007236955734745504,0.0006945172747664925,0.0025920334045219234
PHM,0.0033280294632503458,0.005699679381553998,0.002528815657388336,0.1373231993272298
ALB,0.03797600647435248,0.002709133570841746,-0.0021823551067220205,-0.3086536386176093
AAPL,0.008246114737189702,0.005433622307152627,-0.0014865418941769914,0.14036052768241056
EFX,0.012374816836423795,0.005481580469671246,-0.005961587104685775,-0.021729495070210422
FE,-0.002916893726132276,-0.0020278425885516473,0.0007677870929046239,0.14880323696902056
COST,0.0046973538863821634,-0.0020886675462685254,-0.0006020748526565011,0.11125729822209933
GWW,0.0034798458540501085,0.006668754084654547,0.003160154520247438,0.11759322109044676
M,-0.012365106509422526,0.005713577102752028,0.004128879123985571,0.030790684491982127
CRM,0.01718760851649327,0.00044043874519447934,-0.0056926846709552436,-0.015475447282976708
LKQ,0.01411856477186857,0.00525388135884921,0.0015394096302469014,-0.044887445029062355
AON,0.008954950119221483,0.0020920983591004158,0.0008016428388759741,0.08223393576167497
PEP,0.005068557474790086,-0.0025642413545650124,0.00020977724459894024,0.04750499074456298
RJF,0.020784368509238378,0.010287651277395664,0.004507171411952406,-0.05937094653444344
ORCL,0.0021227943927359313,0.0029295893886827334,0.000697070446665419,0.05353938996278947
MHK,0.016079783976572393,0.010295373683218959,-0.007010241943523478,-0.21327304719464252
PPL,0.006664589155296389,-0.0017932319093886357,-0.00034715737042026007,0.004218440083440227
FMC,0.013770198381424495,0.011942179687091119,-0.0001609078483587635,0.06703402004313784
OKE,0.011363423076248023,0.0082889017600023,0.004723171950011606,0.1007783400277221
EQR,-0.004597830062189091,0.001556077458957385,-0.000774402633527178,0.1286125483310141
RCL,0.018183569536239952,0.0035926318896212835,-0.005538798280362476,-0.05282293089318722
IRM,0.004479731084472201,0.003334852203917553,-0.001135401662818185,0.012719624350622474
BA,0.022194535758731877,3.144273994736598e-05,0.0006870418768992275,-0.034636312010451066
ABC,-0.005926205600269331,0.0028910233982380453,-0.0007700973650233926,0.059365984002870895
GIS,-0.001164633531093499,0.00033036952430199175,0.0012841254095032832,0.059890553896632184
SYF,0.004555180749266855,0.01093694050629378,0.003822233823337589,0.07537166226441516
BMY,0.005970166622087282,0.003685370864721558,-0.0016737060462326471,-0.006413096515988148
ADBE,0.030652223403952673,0.004415859981210128,-0.006104467080879139,-0.03779989244898615
SNPS,0.01485956684221795,0.004687970776477798,-0.001367331482607626,0.078959268031488
BWA,-0.00630420889309441,0.003930931965573432,0.002262717007268871,0.07398706265398805
MSI,0.011351381590647473,0.005566641132301672,0.0023094182371027317,0.1090462004199026
COF,0.008249870620857117,0.007530183072774167,0.006437624096154832,0.04669593664970638
LYB,0.011198177232313948,0.0074461627427847895,0.007150438270931151,-0.0018695268942145599
RTN,0.0237700063115792,0.0030741897611280544,-0.0029963330009262577,-0.09893660008427485
FFIV,0.012917987874992386,0.00047645151060754466,-0.0009478518806780593,-0.09236111576926949
HLT,0.002100371517775562,0.0034067098170646524,-0.0005451868107448534,0.1300475177539214
CVS,-0.007875285358038796,-0.0010848076312219655,0.00017046932254527686,0.07038731161873366
NEE,0.011969293907132255,-0.0036221320399845926,-0.0027496617317071554,0.05676429215026477
KMX,-0.0061934441951841095,0.0029687895721552614,0.0038773081105819038,0.17311497078120158
INCY,0.011104633784131016,0.013491029438787858,-0.007168143092197813,-0.06945716502821077
MGM,0.018770179652587562,0.00433476221471523,0.0006445959099907537,-0.06505595029696665
AES,-0.004477569980815305,0.005141007733570551,-0.0005776425045182353,0.21348386109676737
GM,0.004342758629839301,0.008198364638077944,0.0029045145858526762,0.048407000019270174
FDX,0.017616182182004267,0.007917414281536115,0.0001009258779558677,-0.15867704836690572
ADP,0.009664214068445968,0.004764133171926357,0.00048360116525887576,0.07682524511559032
HOLX,0.0077905475656617415,0.002793041955233426,0.0019238003065540346,0.036096551095852074
NRG,0.003304933587293271,0.003679237867599019,-0.0011518862764375963,0.1511361282005008
NBL,-0.012925244998850442,0.01191502902038738,0.010558454223372872,0.15723471289178154
MSFT,0.026299348285754986,-0.0014881362276505726,0.0014657595956355,0.01830869705546259
COG,-0.002765259441524174,0.008025286196418919,-0.0003238926150447752,-0.013397147736889515
OXY,0.009195902364523412,0.008619364502710388,-0.0003037413066303026,-0.1288050919203497
GOOGL,0.024804968707350925,-0.0015926802235683795,-0.004907969900947584,-0.10344913454959209
GS,0.010830991246977858,0.004154593949648745,0.008532512091366327,0.002232803707356911
HRB,0.0002012981621723692,0.0015342004972116864,-0.005912561583699936,-0.015976112865983744
AJG,0.009924505285716492,0.0008450141013804938,0.0010174113001935885,0.0718816924084591
CINF,0.010533966129965745,0.0017476372809848142,0.002512439629221838,0.07276348645089328
TXN,0.01813637873645007,0.00492405576375763,0.00047692074146598934,0.019305869125664017
ETN,0.006533270413661016,0.008304029804404832,0.0018943717488694284,0.07362395099108601
EXPE,0.014755827163718514,-0.000491784489850051,-0.002502747404594051,-0.11122793568546681
TMO,0.010040065121209394,0.00035106060367515223,-0.004000605152725061,0.07377119119199164
BSX,0.014928058784512512,0.0028977323757045878,-0.006961107641488733,0.02036611811444887
CTAS,0.019508840781192943,0.0070912220271191736,0.00012326626745175076,0.06615814608152078
WBA,0.002250971523433793,-0.0025377349720208282,0.0014419210239317547,-0.048372646573796
UNH,0.02282195834396451,0.00441487985621547,-0.00201640998401512,-0.04109267864571255
HSY,-0.0022063273623596476,-0.007347635131932636,-0.0017016678964777577,0.12155064195845727
FB,0.025091951401148213,0.005926339254648336,-0.007665932337251059,-0.08602876288546625
EIX,0.006007793967425189,-0.00598474954560427,0.0014586771838302648,0.028393395896700327
SBUX,0.0036802603922189286,-0.0005460457238644455,0.0015066744193226208,0.12304056091108201
MCO,0.009267197293092175,0.005686421163258322,-0.0029551286231813564,0.10235669560749265
HII,0.021024869789124517,0.001957127244331485,-0.0005298917281865289,-0.08041248809948628
RL,-0.005553972272240102,0.010390101710252439,0.00394530127089875,0.14470212357106607
LNT,0.009608258398599393,-0.0018647321224692596,-0.001128415248365286,0.03591535264835134
AXP,0.003565073691412147,0.002467205117121148,0.003804845592766339,0.1048002040618868
